Name of university ,2023 endowment  (in 000),2022 endowment (in 000)
Arizona State University ,1467451,1386915
Auburn University,1079218,995962
Baylor University,1965669,1970511
Binghamton University,182736,136993
Boston College,3461100,3336600
Boston University,3128719,2980503
Brandeis University,1216217,1205167
Brown University,6201434,6141243
California Institute of Technology,3665200,3635000
Carnegie Mellon University,3888140,3856808
Case Western Reserve University,2260605,2188161
Clemson University,1027446,994711
Colorado School of Mines,384267,353375
Colorado State University,580577,529782
Columbia University,13642667,13279846
Cornell University,10035558,9838198
Dartmouth College,7930125,8065743
Drexel University,966333,948413
Duke University,13237963,12116260
Emory University,10239776,9997742
Florida International University,306631,284292
Florida State University,947009,898120
George Mason University,179362,157601
George Washington University,2522442,2340361
Georgetown University,3298969,3210032
Georgia Institute of Technology,2947317,2927742
Georgia State University,227449,210450
Harvard University,49495108,49444494
Indiana University-Bloomington,3557620,3515282
Iowa State University,1643443,1524695
Johns Hopkins University,10538865,8244472
Kansas State University,952275,912434
Kent State University,174400,158884
Louisiana State University and Agricultural & Mechanical College,1060514,1001451
Massachusetts Institute of Technology,23453446,24739862
Michigan State University,4054000,3879500
Mississippi State University,709409,639485
Montana State University,273630,166000
New Jersey Institute of Technology,160805,148438
New York University,5877433,5148741
North Carolina State University,2030000,1946242
North Dakota State University,439838,419224
Northeastern University,1662545,1333608
Northwestern University,13699895,14121488
Ohio State University,7383676,6960782
Ohio University,697470,648638
Oklahoma State University,1707485,1543994
Old Dominion University,328784,329751
Oregon State University,65846,64594
Princeton University,34058774,35794186
Purdue University,3793601,3675960
Rensselaer Polytechnic Institute,924292,864141
Rice University,7240020,7291204
Rutgers University-New Brunswick,1987686,1862823
Stanford University,36495000,36339000
Stony Brook University,392139,475866
University of Albany - SUNY,115680,100857
Syracuse University,1897452,1793680
Temple University,839078,778415
Texas A & M University,19285472,18243191
Texas Tech University,1715597,1712162
Pennsylvania State University,4443874,4283067
University of Alabama ,2088711,1877398
University of Montana,251839,241626
University of Tennessee-Knoxville,1599768,1501496
University of Texas at Arlington,221000,173000
The University of Texas at Austin,6018160,4694068
University of Texas at Dallas,769000,603000
University of Texas at El Paso,365000,278000
University of Texas at San Antonio,277000,181000
Tufts University,2405498,2350755
Tulane University of Louisiana,2108338,2051940
University at Buffalo,970993,907868
University of Alabama at Birmingham,1242661,939393
University of Alabama in Huntsville,100000,75800
University of Arizona,1287689,1203998
University of Arkansas,1526675,1465736
University of California-Berkeley,2914883,2648100
University of California-Davis,678042,634164
University of California-Irvine,795885,723965
University of California-Los Angeles,3161977,2359984
University of California-Riverside,28000,19000
University of California-San Diego,1360837,1182890
University of California-Santa Barbara,578757,539242
University of California-Santa Cruz,269300,294000
University of Central Florida,228703,215100
University of Chicago,9869725,9914748
University of Cincinnati,1345894,1261523
University of Colorado Boulder,2096061,1975029
University of Colorado Denver/Anschutz Medical Campus,990000,1000000
University of Connecticut,577275,593746
University of Delaware,1819783,1781177
University of Denver,1022729,990340
University of Florida,2337110,2275517
University of Georgia,1810872,1685035
University of Hawaii at Manoa,491363,450106
University of Houston,1045515,1004455
University of Illinois Chicago,568000,380000
University of Illinois Urbana-Champaign,2375506,1821952
University of Iowa,3112825,3054429
University of Kansas,2357413,2279058
University of Kentucky,1808119,1684532
University of Louisiana at Lafayette,204100,201500
University of Louisville,918348,883606
University of Maine,308121,286775
University of Maryland-Baltimore County,470840,137000
University of Maryland-College Park,997000,943000
University of Massachusetts-Amherst,507000,494000
University of Memphis,341027,256530
University of Miami,1365713,1344284
University of Michigan,17875691,17347188
University of Minnesota-Twin Cities,5501497,5365669
University of Mississippi,835677,780801
University of Missouri-Columbia,2234800,2144710
University of Nebraska-Lincoln,2266095,2058624
University of Nevada-Las Vegas,388400,381000
"University of Nevada, Reno",469000,367000
University of New Hampshire,905968,856545
University of New Mexico,661070,538454
University of North Carolina at Chapel Hill,5200812,5317821
University of North Texas,294044,269672
University of Notre Dame,16616524,16729299
University of Oklahoma,1115664,1044200
University of Oregon,1489652,1405911
University of Pennsylvania,20962965,20724351
University of Pittsburgh,5489296,5528910
University of Rochester,2822698,2739187
University of South Carolina,951821,877225
University of South Florida,637873,604517
University of Southern California,7463051,7319123
University of Southern Mississippi,133520,123990
University of Utah,1643031,1470242
University of Virginia,9799870,9858442
University of Washington,4940534,4678009
University of Wisconsin-Madison,4578665,5662371
University of Wisconsin-Milwaukee,209000,226000
Utah State University,538408,512439
Vanderbilt University,9684196,10206067
Virginia Commonwealth University,2582571,2408532
Virginia Polytechnic Institute and State University (VTech),1792100,1586400
Washington State University,1267373,1200813
Washington University in St Louis,11467279,12252329
Wayne State University,512807,470581
West Virginia University,843624,875112
Yale University,40746900,41383300
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
